sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	reef
150492	RRAP_ECT01_2021_Ahya_MOOR_381	RRAP_ECT01_2021_Ahya_MOOR_381_R1.fastq.gz	05cec1d5b2f405c5192a32cb72d68da6dab738f7f9a149bd581d191da815bafc	RRAP_ECT01_2021_Ahya_MOOR_381_R2.fastq.gz	4b2db7fad8b47b47a175b7202bdc775fa12e35df63f3a978a80b33866059afe1	713	20220607_laffy	15985	443	59	443	59	0	0	0	0	392	35	0	0	106	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-16.84574506	146.2316953	2021057	3.1	Moore reef
150509	RRAP_ECT01_2021_Ahya_MOOR_397	RRAP_ECT01_2021_Ahya_MOOR_397_R1.fastq.gz	f0ce6460e90deb55e7c266a34c252f82e94a9d383b70ebf5a911702627cbb9c1	RRAP_ECT01_2021_Ahya_MOOR_397_R2.fastq.gz	22771bd64bbfdbee9a46d5963e5af839c2398aadfd88c77ab64852d7a3fd85b8	713	20220607_laffy	26091	1069	111	1069	111	0	0	0	0	1006	73	0	0	407	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-16.84593684	146.2318091	2021057	3.2	Moore reef
150620	RRAP_ECT01_2021_Ahya_NONA_97b	RRAP_ECT01_2021_Ahya_NONA_97b_R1.fastq.gz	7c2844c8104be5ea4de7ede10c740e35216061f4a1ba7194645d0a33972ddbaa	RRAP_ECT01_2021_Ahya_NONA_97b_R2.fastq.gz	6e9174253a4ed22fbbf4d6df413fbdd5af695c42baa8eb407ebfc6a89131a908	713	20220607_laffy	26865	1028	105	1028	105	0	0	0	0	980	72	0	0	343	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.65082838	145.6385369	20210325	3.6	No Name reef
150658	RRAP_ECT01_2021_Ahya_OCDA_334	RRAP_ECT01_2021_Ahya_OCDA_334_R1.fastq.gz	01e3291937cb1fce5c3ce6850406b89a53296668ca760e269bf0b0583231ea64	RRAP_ECT01_2021_Ahya_OCDA_334_R2.fastq.gz	d7189e121cbc6e69615eabe34d5fa8fa815f313c59e66fffbf9d98f0da4dee05	713	20220607_laffy	25258	1027	112	1027	112	0	0	0	0	964	75	6	0	360	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.82562092	147.6266302	20210421	1.2	Davies
150592	RRAP_ECT01_2021_Ahya_NONA_103b	RRAP_ECT01_2021_Ahya_NONA_103b_R1.fastq.gz	7cfddf87e39f8e401284501cf832b15e5d540c1a295519437681b10b50f8b45c	RRAP_ECT01_2021_Ahya_NONA_103b_R2.fastq.gz	85a7938938078c53694544c379aec7ef4554840b4b991cd4601ff620b51a3d19	713	20220607_laffy	22106	813	86	813	86	0	0	0	0	756	53	0	0	276	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.65098856	145.6384714	20210325	2	No Name reef
150666	RRAP_ECT01_2021_Ahya_OCDA_342	RRAP_ECT01_2021_Ahya_OCDA_342_R1.fastq.gz	9b8bd9a6f00e3072c3afaec20e8e527e2821d872aad77d69a210328954d5ca59	RRAP_ECT01_2021_Ahya_OCDA_342_R2.fastq.gz	2ece03ec363b6c896945c0e351145917620e3eb5f48d1b8878451c4d01a22893	713	20220607_laffy	27102	1076	111	1076	111	0	0	0	0	1013	79	0	0	387	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.82545504	147.6265292	20210421	1.2	Davies
150328	RRAP_ECT01_2021_Ahya_ECAY_74	RRAP_ECT01_2021_Ahya_ECAY_74_R1.fastq.gz	9fef8d5f0ff65f29ea075a15ada286674061939ff405eafa7c51b531b82ae13a	RRAP_ECT01_2021_Ahya_ECAY_74_R2.fastq.gz	2026636de7aea445416aa49a8f0e2467849415721d5e1062c503aa1d006efea8	713	20220607_laffy	23119	728	88	728	88	0	0	0	0	695	63	0	0	272	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-21.47007499	152.5651091	20210122	~2.5-3.5	East Cay
150423	RRAP_ECT01_2021_Ahya_KELS_219	RRAP_ECT01_2021_Ahya_KELS_219_R1.fastq.gz	646fb8827a9c89923ff88c8c9930038481e9e09ec6a9237964aa8c491fc326ca	RRAP_ECT01_2021_Ahya_KELS_219_R2.fastq.gz	ba976b5cee132d4b597170ab9eacc4ceb5a81664e91abed3cf6995b9da408823	713	20220607_laffy	19070	611	79	611	79	0	0	0	0	563	56	0	0	196	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.42445339	146.9855211	20210411	1.6	Kelso
150686	RRAP_ECT01_2021_Ahya_PAPE_222	RRAP_ECT01_2021_Ahya_PAPE_222_R1.fastq.gz	cca5e8daf5e08ebca9fd0b5677832477e3967b3bc9b1b69904da390115904f8f	RRAP_ECT01_2021_Ahya_PAPE_222_R2.fastq.gz	985f2521d5193442832ec8ffab0438cb7255b8ed124f4515fc24752264e6aec2	713	20220607_laffy	13036	412	57	412	57	0	0	0	0	382	39	0	0	138	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.55851975	146.4840004	20210412	3.4	Pelorus East
150738	RRAP_ECT01_2021_Ahya_STCR_182	RRAP_ECT01_2021_Ahya_STCR_182_R1.fastq.gz	10461b491cd0d27e2a45a54cd759c5475d15df41e36056ea597470eac8e0ad1a	RRAP_ECT01_2021_Ahya_STCR_182_R2.fastq.gz	67c19a68339aab09ff65388ce989dc7d542499cd69ea539503095689e8626ee5	713	20220607_laffy	12707	426	43	426	43	0	0	0	0	393	23	0	0	68	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-16.07383749	145.8432769	20210329	0.6	St Crispin
