otu	Domain	Supergroup	Division	Class	Order	Family	Genus	Symportal type
C3wx	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3wx
C3ah	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3ah
37134_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	37134_C
C50p	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50p
C3bo	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3bo
C3ss	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3ss
C50cb	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50cb
C3bm	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3bm
C3ad	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3ad
C50cc	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50cc
C50by	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50by
40786_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	40786_C
C3ww	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3ww
C3st	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3st
474286_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	474286_C
C3b	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3b
C50u	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50u
C3wz	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3wz
