"Site.name","Genotype","C50b/C50p-C3-C50f-C3bm-C3dt","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k/C50a/C50c-C3-C3ba-C50q-C50f","C3k/C50a/C50b/C50c-C3ba-C50q-C3-C50f","C3k-C3wy-C50a-C3wu-C3ba-C50q","C3k/C3bo-C3ba-C50a-C50q-C50b","C3k/C50b-C3ba-C50a-C50q-C3-C3bh","C3k-C50a-C3wy-C50b-C3ba-C3wu","C3k/C50b-C50a-C3ba-C50q-C3-C50f","C3k/C50a/C1-C3-C3ba-C3dq-C50q-C3a","A1-A1gr-A1gd","A1-A1gr-A1gd-A1mm-A1bf","dominant_type","all_typeprofs","SampleYear","Site.name_geno_year","C3k","C50b","A1","C50c","C50a","A1gr","C3bo","C50p","C3ba","C3","C3dq","C3wy","A1gd","C50q","C3a","C3wu","C3bp","C50f","C3bm","C1","C3bh","C3cz","C50bj","C3wv","C3b","C50u","C50aj","C3bd","C3ah","298_C","C3ad","C21","C50v","40872_C","48186_C","C3ss","C3jv","40786_C","C3su","37134_C","C50aq","37138_C","21216_C","C50ax","C3st","21223_C","21173_C","1079331_C","TotalAbundance","Sitecode","OTU_PC1","OTU_PC2","OTU_PC3","OTU_PC4","OTU_PC5","OTU_PC6"
"Moore",391,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Moore_391_2021",7731,513,0,175,1112,0,0,0,1512,395,460,0,0,1203,241,0,0,324,0,0,246,201,112,0,0,0,305,365,75,77,0,0,0,0,0,89,131,83,0,84,0,0,139,0,88,69,0,0,15730,"MOOR",-3.26939571259196,-0.411143102909803,-1.31550128887466,1.14586759808582,0.619007665047697,1.86689605673009
"Moore",421,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Moore_421_2021",9754,320,5,138,1026,0,0,0,897,336,315,0,0,585,173,0,0,176,0,0,268,265,0,0,0,0,102,324,86,0,0,0,0,108,0,110,120,0,0,78,0,71,161,0,90,79,142,0,15729,"MOOR",-3.46672852972579,1.37297509227682,1.00708841402392,1.55244188897048,0.539016970295521,2.56832357268599
"St Crispin",180,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","St Crispin_180_2021",9223,252,0,219,727,0,0,0,1717,261,429,0,0,686,161,0,0,247,0,0,88,77,0,0,0,0,261,252,156,0,0,0,0,72,0,257,199,76,0,101,0,139,0,0,0,0,128,0,15728,"STCR",-3.67165435567736,0.175277836884377,-1.01766477855703,-0.348692936638936,-0.566270849805725,-1.87511484648975
"Moore",383,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Moore_383_2021",9015,0,0,408,1274,0,0,0,846,318,387,0,0,1169,215,0,0,226,0,0,0,214,333,0,0,0,164,253,67,0,0,0,0,100,0,97,159,0,0,90,0,71,112,0,0,69,142,0,15729,"MOOR",-3.09210175798216,-0.274026868502318,0.541680308999701,1.14430438100656,0.518838726646944,1.85564819633415
"Moore",393,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Moore_393_2021",9031,0,0,308,956,0,0,0,1549,243,384,0,0,1093,189,0,0,244,0,0,0,190,0,0,0,0,228,344,82,0,0,0,0,68,0,75,135,232,0,89,0,0,129,0,91,70,0,0,15730,"MOOR",-3.80835114777455,0.142465637177474,-0.0408384693137505,1.59404327020771,0.773023773517713,1.78560421766962
"St Crispin",259,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","St Crispin_259_2021",10355,208,0,70,695,0,0,0,789,249,265,0,0,563,105,0,0,191,0,0,253,226,66,0,0,0,160,187,113,0,0,0,0,66,0,247,203,0,0,220,0,90,84,0,68,70,187,0,15730,"STCR",-4.02923865152251,1.4219141196171,0.915284504299355,0.624725455060982,0.0638483432044209,0.139512955290711
"St Crispin",184,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","St Crispin_184_2021",9118,160,0,348,994,0,0,0,1521,266,359,0,0,823,200,0,0,287,0,0,129,179,91,0,0,0,236,226,85,0,0,0,0,0,0,215,153,0,0,185,0,0,0,0,0,0,156,0,15731,"STCR",-2.90859106603276,-0.000889512017952629,-0.558902827440518,0.0466445768820183,-0.613625383938101,-1.20125484473185
"North Direction",91,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","North Direction_91_2021",8065,300,0,376,1327,0,98,0,1610,478,438,0,0,1188,296,0,0,333,0,0,260,0,0,0,0,0,278,277,132,0,0,0,0,0,0,74,127,0,0,0,0,72,0,0,0,0,0,0,15729,"NDIR",-1.69143340725551,-0.57604703157167,-1.81885867595526,-0.201192344396589,-0.437487885236212,-1.11519938033832
"Chicken",301,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Chicken_301_2021",8721,155,0,197,948,0,510,0,1058,231,381,0,0,1097,255,0,0,202,0,0,191,136,172,0,0,0,252,209,99,0,0,0,0,0,0,112,182,185,94,85,0,0,90,0,165,0,0,0,15727,"OCCH",-3.58560161075004,0.0920265115750002,-0.239501911717728,1.11696669501966,0.0266118846953745,0.0884568079757968
"Davies",344,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Davies_344_2021",9620,526,0,0,674,0,0,0,1500,318,366,0,0,770,181,0,0,226,0,0,0,149,0,0,0,0,185,336,115,0,0,0,0,0,0,133,200,76,100,104,0,0,0,0,152,0,0,0,15731,"OCDA",-3.60716484608633,0.548997178605731,-0.104459766541208,0.215083854240407,0.0416188412909897,-0.977661293103132
