"Site_year","Collection.date","Site","Site_geno_year","Site.name","Genotype","Depth_corrected","Time","Health.Chart","Health.Chart.num","SampleYear","Tide_adjust","fvfm_ED50","fvfm_ED50CIrange","LowerCI_fvfmED50","UpperCI_fvfmED50","fvfm_ed50_std_error","ndvi_ED50","ndvi_ED50CIrange","LowerCI_ndviED50","UpperCI_ndviED50","ndvi_ed50_std_error","RelativeNDVI9C","RelativeFvFm9C","Lat","Lon","Km_to_coastline","Subregion","Shelf.pos","Region","acuteHeatStress","naturalBleaching","resampled","subproject","Trip","RelativeFvFm9C.adj","RelativeNDVI9C.adj","ndvi_ED50.adj","fvfm_ED50.adj","Sitename_geno_year"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_34_2021","Hicks",34,2.9,"2021-03-20 10:12:00","C4",4,2021,1.49625885085906,36.4347797015275,0.667598568952698,36.1009804170512,36.7685789860039,0.169313168277825,36.3617342347643,1.17068187144847,35.77639329904,36.9470751704885,0.296894283455608,0.144684020903606,0.244391665674781,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.4029784692021,0.191015625374278,35.7747799318283,36.4555322146734,"Hicks_34_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_35_2021","Hicks",35,3.1,"2021-03-20 10:15:00","C5",5,2021,1.49366033576383,36.5141759172629,0.69860696889549,36.1648724328151,36.8634794017106,0.17717737093149,36.4729583794864,1.06435157343098,35.9407825927709,37.0051341662019,0.269928069653682,0.219174757585387,0.277516140707046,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.436102944234365,0.265506362056059,35.8860040765504,36.5349284304088,"Hicks_35_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_36_2021","Hicks",36,2.9,"2021-03-20 10:22:00","C4/C5",4.5,2021,1.48752981809814,36.0254516123551,0.718943389743814,35.6659799174832,36.384923307227,0.182334997093963,35.7091640107532,1.20740523123084,35.1054613951377,36.3128666263686,0.30620762113904,0.139753746477131,0.208229593829268,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.366816397356587,0.186085350947803,35.1222097078172,36.046204125501,"Hicks_36_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_37_2021","Hicks",37,2.3,"2021-03-20 10:26:00","C3/C4",3.5,2021,1.48398545097036,35.8954964940918,0.628848782611101,35.5810721027862,36.2099208853973,0.159485632089608,33.8787418295989,0.983419421902781,33.3870321186475,34.3704515405502,0.249403028886836,0.175261949358658,0.141002848637428,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.299589652164747,0.22159355382933,33.2917875266629,35.9162490072377,"Hicks_37_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_38_2021","Hicks",38,2.7,"2021-03-20 15:55:00","C3/C4",3.5,2021,1.16352714739152,36.2000713234923,0.691998356846057,35.8540721450693,36.5460705019153,0.17550132623031,36.1959640258941,1.27557175508628,35.5581781483509,36.8337499034372,0.323495196653197,0.265529560615524,0.167015863735463,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.325602667262782,0.311861165086196,35.6090097229581,36.2208238366382,"Hicks_38_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_39_2021","Hicks",39,2.2,"2021-03-20 16:01:00","C4",4,2021,1.1585321036257,36.153065211436,0.674544204586738,35.8157931091426,36.4903373137294,0.17107468729478,36.2173534438817,1.21808188716344,35.6083125003,36.8263943874635,0.308915306454855,0.124760800593415,0.205205133229591,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.36379193675691,0.171092405064087,35.6303991409457,36.1738177245819,"Hicks_39_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_40_2021","Hicks",40,2.1,"2021-03-20 16:05:00","C5",5,2021,1.15524503859557,36.2448453613629,0.684822217456116,35.9024342526348,36.5872564700909,0.17368134794902,36.4315302351755,1.01274568516352,35.9251573925938,36.9379030777573,0.256840403744665,0.262810624961163,0.222212999328215,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.380799802855534,0.309142229431835,35.8445759322395,36.2655978745088,"Hicks_40_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_41_2021","Hicks",41,1.9,"2021-03-20 16:11:00","C4",4,2021,1.15038049285916,36.511687035888,0.690314754785859,36.1665296584951,36.856844413281,0.175074339097339,37.0996364824121,1.10439759576974,36.5474376845272,37.6518352802969,0.280084061129657,0.279955390362326,0.215379076884088,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.373965880411407,0.326286994832998,36.5126821794761,36.5324395490339,"Hicks_41_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_42_2021","Hicks",42,0.7,"2021-03-20 16:19:00","C4",4,2021,1.14402104598936,36.5144091898223,0.715676861706243,36.1565707589692,36.8722476206754,0.181506555816479,36.3232353984521,1.11117802734422,35.76764638478,36.8788244121242,0.281803632793763,0.170556472050274,0.242255283613642,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.400842087140961,0.216888076520946,35.7362810955161,36.5351617029682,"Hicks_42_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_43_2021","Hicks",43,1.4,"2021-03-20 16:23:00","C4",4,2021,1.14089698560949,36.4356776158888,0.729432577206495,36.0709613272856,36.8003939044921,0.184995214842411,36.1830216288422,1.45348469506247,35.456279281311,36.9097639763734,0.3686153408358,0.0786432872139468,0.199522858405242,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.358109661932561,0.124974891684618,35.5960673259062,36.4564301290347,"Hicks_43_2021"
"Martin_2021","2021-03-27","Martin","Martin_131_2021","Martin",131,0.1,"2021-03-27 09:01:00","C3",3,2021,2.65677459587978,37.2426927626948,0.506792581447954,36.9892964719708,37.4960890534188,0.128706675989026,35.67381383685,0.996210587053895,35.175708543323,36.1719191303769,0.253000848746544,0.108081560699002,0.37949509932514,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.334101233077071,0.251373414439166,35.1551469128402,36.3217653823591,"Martin_131_2021"
"Martin_2021","2021-03-27","Martin","Martin_132_2021","Martin",132,0.8,"2021-03-27 09:09:00","C2/C3",2.5,2021,2.62585619292774,37.222560791669,0.957480378193509,36.7438206025722,37.7013009807657,0.243164800182971,36.072065556931,1.9960340879357,35.0740485129631,37.0700826008988,0.506919244723351,0.0878253221434558,0.406732950194742,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.361339083946673,0.23111717588362,35.5533986329212,36.3016334113333,"Martin_132_2021"
