"Site","Site.name","Reef.name","SampleYear","Genotype","Tank","Treatment","Site_Rack","Site_Rack_Year","Site_year","Site_geno_year","Collection.date","Type","Qualityscore","PAM_date","PAM_time","F1","F2","F3","Fm.1","Fm.2","Fm.3","Y.II.1","Y.II.2","Y.II.3","Y.II.mean","Y.II.sd","F0mean","FMmean","file","Site_year_tank","meanTemp_hold","meanTemp_hold_corr","eventID"
"EastCay-22Jan","East Cay","East Cay",2021,43,3,"+9C","EastCay-22Jan_482","EastCay-22Jan_482_2021","EastCay-22Jan_2021","EastCay-22Jan_43_2021","2021-01-21","Seasim",0,"22.01.21","22:08:11",0.1534,0.2216,0.223,0.3328,0.4706,0.4652,0.539,0.529,0.521,0.529666666666667,0.0090184995056458,0.199333333333333,0.422866666666667,"../RawData/PAM/2021/EasyCay-22Jan_482.csv","EastCay-22Jan_2021_3",35.12818333,35.12818333,"Ahya_43a"
"EastCay-22Jan","East Cay","East Cay",2021,41,3,"+9C","EastCay-22Jan_483","EastCay-22Jan_483_2021","EastCay-22Jan_2021","EastCay-22Jan_41_2021","2021-01-21","Seasim",0,"22.01.21","22:08:11",0.2103,0.2618,0.2814,0.3647,0.473,0.5093,0.423,0.447,0.448,0.439333333333333,0.0141539158303748,0.251166666666667,0.449,"../RawData/PAM/2021/EasyCay-22Jan_483.csv","EastCay-22Jan_2021_3",35.12818333,35.12818333,"Ahya_41a"
"EastCay-22Jan","East Cay","East Cay",2021,45,3,"+9C","EastCay-22Jan_484","EastCay-22Jan_484_2021","EastCay-22Jan_2021","EastCay-22Jan_45_2021","2021-01-21","Seasim",0,"22.01.21","22:08:11",0.2848,0.2784,0.2466,0.5539,0.5446,0.4843,0.486,0.489,0.491,0.488666666666667,0.00251661147842359,0.269933333333333,0.5276,"../RawData/PAM/2021/EasyCay-22Jan_484.csv","EastCay-22Jan_2021_3",35.12818333,35.12818333,"Ahya_45a"
"EastCay-22Jan","East Cay","East Cay",2021,51,3,"+9C","EastCay-22Jan_881","EastCay-22Jan_881_2021","EastCay-22Jan_2021","EastCay-22Jan_51_2021","2021-01-21","Seasim",0,"22.01.21","22:09:06",0.1951,0.1647,0.1975,0.3784,0.4137,0.4623,0.484,0.602,0.573,0.553,0.0614898365585728,0.185766666666667,0.418133333333333,"../RawData/PAM/2021/EasyCay-22Jan_881.csv","EastCay-22Jan_2021_3",35.12818333,35.12818333,"Ahya_51a"
"EastCay-22Jan","East Cay","East Cay",2021,38,4,"+6C","EastCay-22Jan_617","EastCay-22Jan_617_2021","EastCay-22Jan_2021","EastCay-22Jan_38_2021","2021-01-21","Seasim",0,"22.01.21","22:16:07",0.2211,0.177,0.2093,0.5284,0.4373,0.5333,0.582,0.595,0.608,0.595,0.013,0.202466666666667,0.499666666666667,"../RawData/PAM/2021/EasyCay-22Jan_617.csv","EastCay-22Jan_2021_4",32.36365,32.36365,"Ahya_38a"
"EastCay-22Jan","East Cay","East Cay",2021,39,4,"+6C","EastCay-22Jan_618","EastCay-22Jan_618_2021","EastCay-22Jan_2021","EastCay-22Jan_39_2021","2021-01-21","Seasim",0,"22.01.21","22:16:07",0.2431,0.3338,0.2652,0.549,0.7221,0.6162,0.557,0.538,0.57,0.555,0.016093476939431,0.2807,0.6291,"../RawData/PAM/2021/EasyCay-22Jan_618.csv","EastCay-22Jan_2021_4",32.36365,32.36365,"Ahya_39a"
"EastCay-22Jan","East Cay","East Cay",2021,40,4,"+6C","EastCay-22Jan_619","EastCay-22Jan_619_2021","EastCay-22Jan_2021","EastCay-22Jan_40_2021","2021-01-21","Seasim",0,"22.01.21","22:16:07",0.2225,0.2525,0.2662,0.5289,0.577,0.6078,0.579,0.562,0.562,0.567666666666667,0.00981495457622358,0.247066666666667,0.571233333333333,"../RawData/PAM/2021/EasyCay-22Jan_619.csv","EastCay-22Jan_2021_4",32.36365,32.36365,"Ahya_40a"
"EastCay-22Jan","East Cay","East Cay",2021,44,4,"+6C","EastCay-22Jan_620","EastCay-22Jan_620_2021","EastCay-22Jan_2021","EastCay-22Jan_44_2021","2021-01-21","Seasim",0,"22.01.21","22:16:07",0.1789,0.2196,0.2206,0.3833,0.4466,0.4338,0.533,0.508,0.492,0.511,0.0206639783197718,0.206366666666667,0.421233333333333,"../RawData/PAM/2021/EasyCay-22Jan_620.csv","EastCay-22Jan_2021_4",32.36365,32.36365,"Ahya_44a"
"EastCay-22Jan","East Cay","East Cay",2021,42,4,"+6C","EastCay-22Jan_181","EastCay-22Jan_181_2021","EastCay-22Jan_2021","EastCay-22Jan_42_2021","2021-01-21","Seasim",0,"22.01.21","22:15:53",0.2328,0.1877,0.1887,0.574,0.5319,0.4819,0.594,0.647,0.608,0.616333333333333,0.0274651294068194,0.203066666666667,0.529266666666667,"../RawData/PAM/2021/EasyCay-22Jan_181.csv","EastCay-22Jan_2021_4",32.36365,32.36365,"Ahya_42a"
"EastCay-22Jan","East Cay","East Cay",2021,43,4,"+6C","EastCay-22Jan_182","EastCay-22Jan_182_2021","EastCay-22Jan_2021","EastCay-22Jan_43_2021","2021-01-21","Seasim",0,"22.01.21","22:15:53",0.2417,0.2348,0.2382,0.625,0.6696,0.6191,0.613,0.649,0.615,0.625666666666667,0.0202319878739914,0.238233333333333,0.6379,"../RawData/PAM/2021/EasyCay-22Jan_182.csv","EastCay-22Jan_2021_4",32.36365,32.36365,"Ahya_43a"
