"Site","Site_year","SampleYear","Tank","Site_Rack","Genotype","Rack.Pos","Treatment","MedNDVI","Label","Site_geno_year","Site_year_tank","eventID"
"Chicken","Chicken_2021",2021,10,"Chicken_972",320,972,"+3C",0.554161190986633,"Chicken_2021_5am_972","Chicken_320_2021","Chicken_2021_10","Ahya_320"
"Chicken","Chicken_2021",2021,10,"Chicken_905",301,905,"+3C",0.582554459571838,"Chicken_2021_5am_905","Chicken_301_2021","Chicken_2021_10","Ahya_301"
"Chicken","Chicken_2021",2021,10,"Chicken_906",302,906,"+3C",0.591328740119934,"Chicken_2021_5am_906","Chicken_302_2021","Chicken_2021_10","Ahya_302"
"Chicken","Chicken_2021",2021,10,"Chicken_907",303,907,"+3C",0.707131743431091,"Chicken_2021_5am_907","Chicken_303_2021","Chicken_2021_10","Ahya_303"
"Chicken","Chicken_2021",2021,10,"Chicken_908",304,908,"+3C",0.526169657707214,"Chicken_2021_5am_908","Chicken_304_2021","Chicken_2021_10","Ahya_304"
"Chicken","Chicken_2021",2021,11,"Chicken_829",313,829,"+6C",0.627244889736176,"Chicken_2021_5am_829","Chicken_313_2021","Chicken_2021_11","Ahya_313"
"Chicken","Chicken_2021",2021,11,"Chicken_830",314,830,"+6C",0.605916917324066,"Chicken_2021_5am_830","Chicken_314_2021","Chicken_2021_11","Ahya_314"
"Chicken","Chicken_2021",2021,11,"Chicken_831",315,831,"+6C",0.433270156383514,"Chicken_2021_5am_831","Chicken_315_2021","Chicken_2021_11","Ahya_315"
"Chicken","Chicken_2021",2021,11,"Chicken_832",316,832,"+6C",0.710328698158264,"Chicken_2021_5am_832","Chicken_316_2021","Chicken_2021_11","Ahya_316"
"Chicken","Chicken_2021",2021,11,"Chicken_157",309,157,"+6C",0.552649676799774,"Chicken_2021_5am_157","Chicken_309_2021","Chicken_2021_11","Ahya_309"
"Chicken","Chicken_2021",2021,11,"Chicken_159",311,159,"+6C",0.487809866666794,"Chicken_2021_5am_159","Chicken_311_2021","Chicken_2021_11","Ahya_311"
"Chicken","Chicken_2021",2021,11,"Chicken_160",312,160,"+6C",0.453424066305161,"Chicken_2021_5am_160","Chicken_312_2021","Chicken_2021_11","Ahya_312"
"Chicken","Chicken_2021",2021,11,"Chicken_957",329,957,"+6C",0.607873439788818,"Chicken_2021_5am_957","Chicken_329_2021","Chicken_2021_11","Ahya_329"
"Chicken","Chicken_2021",2021,11,"Chicken_958",330,958,"+6C",0.543267428874969,"Chicken_2021_5am_958","Chicken_330_2021","Chicken_2021_11","Ahya_330"
"Chicken","Chicken_2021",2021,11,"Chicken_369",317,369,"+6C",0.650693595409393,"Chicken_2021_5am_369","Chicken_317_2021","Chicken_2021_11","Ahya_317"
"Chicken","Chicken_2021",2021,11,"Chicken_370",318,370,"+6C",0.508009135723114,"Chicken_2021_5am_370","Chicken_318_2021","Chicken_2021_11","Ahya_318"
"Chicken","Chicken_2021",2021,11,"Chicken_371",319,371,"+6C",0.57852566242218,"Chicken_2021_5am_371","Chicken_319_2021","Chicken_2021_11","Ahya_319"
"Chicken","Chicken_2021",2021,11,"Chicken_372",320,372,"+6C",0.601502656936646,"Chicken_2021_5am_372","Chicken_320_2021","Chicken_2021_11","Ahya_320"
"Chicken","Chicken_2021",2021,11,"Chicken_577",325,577,"+6C",0.640448808670044,"Chicken_2021_5am_577","Chicken_325_2021","Chicken_2021_11","Ahya_325"
"Chicken","Chicken_2021",2021,11,"Chicken_578",326,578,"+6C",0.642600536346436,"Chicken_2021_5am_578","Chicken_326_2021","Chicken_2021_11","Ahya_326"
"Chicken","Chicken_2021",2021,11,"Chicken_579",327,579,"+6C",0.547408938407898,"Chicken_2021_5am_579","Chicken_327_2021","Chicken_2021_11","Ahya_327"
"Chicken","Chicken_2021",2021,11,"Chicken_580",328,580,"+6C",0.399891167879105,"Chicken_2021_5am_580","Chicken_328_2021","Chicken_2021_11","Ahya_328"
"Chicken","Chicken_2021",2021,11,"Chicken_1113",321,1113,"+6C",0.581464409828186,"Chicken_2021_5am_1113","Chicken_321_2021","Chicken_2021_11","Ahya_321"
"Chicken","Chicken_2021",2021,11,"Chicken_1114",322,1114,"+6C",0.672675132751465,"Chicken_2021_5am_1114","Chicken_322_2021","Chicken_2021_11","Ahya_322"
