"Site.name","Variable","Metric","Value","Depth","Source","Spat_res","Time_res","Period","Multi_level","Depth.adjusted"
"Pelorus East","Temperature","DHW_freq_sup8",0.00204528853177502,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"St Crispin","Temperature","DHW_freq_sup8",0.00102264426588751,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Sykes","Temperature","DHW_freq_sup8",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"21-550","Temperature","DHW_max",5.58571428571428,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Chicken","Temperature","DHW_max",7.19628571428572,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","DHW_max",6.59714285714287,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"East Cay","Temperature","DHW_max",4.62585714285715,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Island","Temperature","DHW_max",10.7062857142857,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Reef","Temperature","DHW_max",5.75857142857144,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Heron","Temperature","DHW_max",7.54600000000001,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","DHW_max",10.9474285714286,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks_2","Temperature","DHW_max",10.7598571428571,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Kelso","Temperature","DHW_max",7.62057142857143,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","DHW_max",6.14571428571428,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","DHW_max",8.80714285714285,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Martin","Temperature","DHW_max",9.54257142857142,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Moore","Temperature","DHW_max",10.5532857142857,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"No Name","Temperature","DHW_max",11.2785714285714,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","DHW_max",8.94485714285713,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Pelorus East","Temperature","DHW_max",9.20142857142858,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"St Crispin","Temperature","DHW_max",8.42342857142856,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Sykes","Temperature","DHW_max",5.65571428571429,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"21-550","Temperature","SSTA_freq_stdev",0.104941621049724,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Chicken","Temperature","SSTA_freq_stdev",0.162404190136871,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","SSTA_freq_stdev",0.153988084863369,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"East Cay","Temperature","SSTA_freq_stdev",0.113047934992372,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Island","Temperature","SSTA_freq_stdev",0.137152918180955,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Reef","Temperature","SSTA_freq_stdev",0.105850336249388,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Heron","Temperature","SSTA_freq_stdev",0.100512522910788,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","SSTA_freq_stdev",0.205170981639718,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks_2","Temperature","SSTA_freq_stdev",0.206077609413295,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Kelso","Temperature","SSTA_freq_stdev",0.166547065858263,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","SSTA_freq_stdev",0.101997938641795,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","SSTA_freq_stdev",0.164225527950923,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Martin","Temperature","SSTA_freq_stdev",0.165188712101812,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Moore","Temperature","SSTA_freq_stdev",0.179814397985464,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"No Name","Temperature","SSTA_freq_stdev",0.197823767415218,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","SSTA_freq_stdev",0.183423458236812,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Pelorus East","Temperature","SSTA_freq_stdev",0.141050342967932,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"St Crispin","Temperature","SSTA_freq_stdev",0.176572165836161,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Sykes","Temperature","SSTA_freq_stdev",0.107671322088591,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"21-550","Temperature","SSTA_freq_mean",0.0890059922592084,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Chicken","Temperature","SSTA_freq_mean",0.129995310204499,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","SSTA_freq_mean",0.126684509199438,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"East Cay","Temperature","SSTA_freq_mean",0.0953980075399769,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Island","Temperature","SSTA_freq_mean",0.120004186585605,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Reef","Temperature","SSTA_freq_mean",0.112491659732289,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Heron","Temperature","SSTA_freq_mean",0.104562267817755,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","SSTA_freq_mean",0.162959707792333,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks_2","Temperature","SSTA_freq_mean",0.164038626223657,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Kelso","Temperature","SSTA_freq_mean",0.1388527835847,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","SSTA_freq_mean",0.116521911590332,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","SSTA_freq_mean",0.127468544452779,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Martin","Temperature","SSTA_freq_mean",0.137069176405061,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Moore","Temperature","SSTA_freq_mean",0.144460861693511,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"No Name","Temperature","SSTA_freq_mean",0.15288266993885,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","SSTA_freq_mean",0.142740000189852,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Pelorus East","Temperature","SSTA_freq_mean",0.13521384036438,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"St Crispin","Temperature","SSTA_freq_mean",0.139853470590935,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Sykes","Temperature","SSTA_freq_mean",0.111187415572135,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"21-550","Temperature","MMM",27.565,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Chicken","Temperature","MMM",28.374,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","MMM",28.391,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"East Cay","Temperature","MMM",27.647,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Island","Temperature","MMM",28.768,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Reef","Temperature","MMM",27.086,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Heron","Temperature","MMM",27.121,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","MMM",28.589,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks_2","Temperature","MMM",28.591,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
