"Site","Site_geno_year","Site_year","Site.name","Genotype","SampleYear","RelativeFvFm9C","eventID"
"LadyMusgrave","LadyMusgrave_101_2021","LadyMusgrave_2021","Lady Musgrave",101,2021,0.609358654551517,"Ahya_101a"
"LadyMusgrave","LadyMusgrave_114_2021","LadyMusgrave_2021","Lady Musgrave",114,2021,0.490808057282243,"Ahya_114a"
"LadyMusgrave","LadyMusgrave_115_2021","LadyMusgrave_2021","Lady Musgrave",115,2021,0.648236614655683,"Ahya_115a"
"LadyMusgrave","LadyMusgrave_116_2021","LadyMusgrave_2021","Lady Musgrave",116,2021,0.691875454759614,"Ahya_116a"
"LadyMusgrave","LadyMusgrave_117_2021","LadyMusgrave_2021","Lady Musgrave",117,2021,0.616331385158031,"Ahya_117a"
"LadyMusgrave","LadyMusgrave_118_2021","LadyMusgrave_2021","Lady Musgrave",118,2021,0.575079467167115,"Ahya_118a"
"LadyMusgrave","LadyMusgrave_111_2021","LadyMusgrave_2021","Lady Musgrave",111,2021,0.684517606940462,"Ahya_111a"
"LadyMusgrave","LadyMusgrave_120_2021","LadyMusgrave_2021","Lady Musgrave",120,2021,0.66317766609209,"Ahya_120a"
"LadyMusgrave","LadyMusgrave_76_2021","LadyMusgrave_2021","Lady Musgrave",76,2021,0.602762098736111,"Ahya_76a"
"LadyMusgrave","LadyMusgrave_77_2021","LadyMusgrave_2021","Lady Musgrave",77,2021,0.775671017974239,"Ahya_77a"
"LadyMusgrave","LadyMusgrave_78_2021","LadyMusgrave_2021","Lady Musgrave",78,2021,0.610258393865154,"Ahya_78a"
"LadyMusgrave","LadyMusgrave_79_2021","LadyMusgrave_2021","Lady Musgrave",79,2021,0.640459080365452,"Ahya_79a"
"LadyMusgrave","LadyMusgrave_110_2021","LadyMusgrave_2021","Lady Musgrave",110,2021,0.641921360641988,"Ahya_110a"
"LadyMusgrave","LadyMusgrave_119_2021","LadyMusgrave_2021","Lady Musgrave",119,2021,0.529025929573075,"Ahya_119a"
"LadyMusgrave","LadyMusgrave_112_2021","LadyMusgrave_2021","Lady Musgrave",112,2021,0.70109947519272,"Ahya_112a"
"LadyMusgrave","LadyMusgrave_113_2021","LadyMusgrave_2021","Lady Musgrave",113,2021,0.457681337277281,"Ahya_113a"
"Reef21550-20Jan","Reef21550-20Jan_19_2021","Reef21550-20Jan_2021","Reef21550",19,2021,0.896013783160323,"Ahya_19a"
"Reef21550-20Jan","Reef21550-20Jan_20_2021","Reef21550-20Jan_2021","Reef21550",20,2021,0.92032857683573,"Ahya_20a"
"Reef21550-20Jan","Reef21550-20Jan_21_2021","Reef21550-20Jan_2021","Reef21550",21,2021,0.900780363661893,"Ahya_21a"
"Reef21550-20Jan","Reef21550-20Jan_22_2021","Reef21550-20Jan_2021","Reef21550",22,2021,0.907445827496498,"Ahya_22a"
