"","Site_year","Site","Site_geno_year","Genotype","SampleYear","Absolute_estimate_ED50","fvfm_ED50CIrange","LowerCI_fvfmED50","UpperCI_fvfmED50","Std..Error","eventID"
"44","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_108_2021","108","2021",35.4202693567666,2.20161222888211,34.3194632423255,36.5210754712077,0.559218436929201,"Ahya_108a"
"45","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_109_2021","109","2021",34.9787774978875,1.20176583633975,34.3778945797176,35.5796604160573,0.305253397367831,"Ahya_109a"
"46","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_98_2021","98","2021",35.5446558158126,2.68516635826469,34.2020726366802,36.8872389949449,0.682043147319411,"Ahya_98a"
"47","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_99_2021","99","2021",35.7811708358718,3.11701483516735,34.2226634182882,37.3396782534555,0.791734412236842,"Ahya_99a"
"48","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_100_2021","100","2021",35.4870861090216,2.59397519966554,34.1900985091888,36.7840737088543,0.658880223120231,"Ahya_100a"
"49","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_101_2021","101","2021",35.325150459585,2.98623112691968,33.8320348961252,36.8182660230448,0.758514819820603,"Ahya_101a"
"50","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_114_2021","114","2021",34.9996630515734,0.723378365874666,34.6379738686361,35.3613522345108,0.183741039301109,"Ahya_114a"
"51","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_115_2021","115","2021",35.2861480179959,2.11427753447451,34.2290092507587,36.3432867852332,0.537035070278344,"Ahya_115a"
"52","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_116_2021","116","2021",36.6189285155881,5.64767425337189,33.7950913889021,39.442765642274,1.43453217002686,"Ahya_116a"
"53","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_117_2021","117","2021",35.390269046458,2.26384296635942,34.2583475632783,36.5221905296377,0.575025296686101,"Ahya_117a"
"54","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_118_2021","118","2021",35.281579365128,1.4527398592389,34.5552094355085,36.0079492947474,0.369001817255,"Ahya_118a"
"55","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_111_2021","111","2021",36.0149142090536,4.20852033212803,33.9106540429896,38.1191743751176,1.06898123613367,"Ahya_111a"
"56","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_120_2021","120","2021",35.6829330957421,3.17995167156711,34.0929572599586,37.2729089315257,0.807720623984317,"Ahya_120a"
"57","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_76_2021","76","2021",35.5116010667018,2.12934118363488,34.4469304748843,36.5762716585192,0.540861298270449,"Ahya_76a"
"58","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_77_2021","77","2021",36.147002271512,NA,NA,NA,NA,"Ahya_77a"
"59","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_78_2021","78","2021",36.7890553927279,4.9260152131168,34.3260477861695,39.2520629992863,1.25122784640753,"Ahya_78a"
"60","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_79_2021","79","2021",35.7043453926455,2.87708392028981,34.2658034325006,37.1428873527904,0.730790986583296,"Ahya_79a"
"61","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_110_2021","110","2021",35.5800711868869,4.72312464122068,33.2185088662766,37.9416335074973,1.19969281812463,"Ahya_110a"
"62","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_119_2021","119","2021",35.1309805684586,1.10941358563683,34.5762737756402,35.685687361277,0.281795551064352,"Ahya_119a"
"63","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_112_2021","112","2021",36.5465951300601,7.41747638458277,32.8378569377687,40.2553333223515,1.8840690905191,"Ahya_112a"
"64","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_113_2021","113","2021",34.918247645467,0.999533548956592,34.4184808709888,35.4180144199453,0.253885576021539,"Ahya_113a"
"65","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_19_2021","19","2021",39.0264953074907,10.186552637432,33.9332189887747,44.1197716262067,2.57536340579029,"Ahya_19a"
"66","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_20_2021","20","2021",40,20.4703785861087,29.7648107069457,50.2351892930543,5.17531944218447,"Ahya_20a"
"67","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_21_2021","21","2021",39.8647902799176,NA,NA,NA,NA,"Ahya_21a"
"68","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_22_2021","22","2021",39.8307777931765,NA,NA,NA,NA,"Ahya_22a"
"69","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_27_2021","27","2021",37.9530264458056,9.68964738822967,33.1082027516907,42.7978501399204,2.44973586127259,"Ahya_27a"
"70","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_28_2021","28","2021",40,20.4703785861087,29.7648107069457,50.2351892930543,5.17531944218447,"Ahya_28a"
"71","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_29_2021","29","2021",40,20.4703785861087,29.7648107069457,50.2351892930543,5.17531944218447,"Ahya_29a"
"72","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_30_2021","30","2021",40,20.4703785861087,29.7648107069457,50.2351892930543,5.17531944218447,"Ahya_30a"
"73","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_31_2021","31","2021",38.2581126592281,14.2254195107174,31.1454029038694,45.3708224145868,3.59646939881249,"Ahya_31a"
"74","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_32_2021","32","2021",38.2545672221289,5.40801653375286,35.5505589552525,40.9585754890054,1.36725429835378,"Ahya_32a"
"75","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_33_2021","33","2021",37.2386291770099,NA,NA,NA,NA,"Ahya_33a"
"76","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_23_2021","23","2021",40,20.4703785861087,29.7648107069457,50.2351892930543,5.17531944218447,"Ahya_23a"
"77","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_24_2021","24","2021",40,20.4703785861087,29.7648107069457,50.2351892930543,5.17531944218447,"Ahya_24a"
